disease,description,severity,symptoms
common_cold,A viral infection of the upper respiratory tract,1,"runny_nose,cough,sore_throat,fever,fatigue"
flu,Influenza viral infection with respiratory symptoms,2,"fever,headache,body_aches,fatigue,cough,sore_throat"
covid_19,Viral infection caused by SARS-CoV-2,3,"fever,cough,shortness_of_breath,fatigue,loss_of_taste,loss_of_smell"
bronchitis,Inflammation of the bronchial tubes,2,"cough,shortness_of_breath,chest_pain,fatigue,fever"
pneumonia,Infection causing inflammation of the air sacs in lungs,3,"fever,cough,shortness_of_breath,chest_pain,fatigue"
gastroenteritis,Inflammation of the stomach and intestines,2,"nausea,vomiting,diarrhea,abdominal_pain,fever"
migraine,Severe recurring headache with associated symptoms,2,"headache,nausea,dizziness,sensitivity_to_light"
food_poisoning,Illness caused by consuming contaminated food,2,"nausea,vomiting,diarrhea,abdominal_pain,fever"
asthma,Chronic condition affecting airways,2,"shortness_of_breath,cough,chest_pain,wheezing"
allergies,Immune system response to substances,1,"runny_nose,sneezing,itchy_eyes,rash"
strep_throat,Bacterial infection causing sore throat,2,"sore_throat,fever,headache,fatigue,swollen_lymph_nodes"
sinusitis,Inflammation of the sinuses,1,"headache,runny_nose,facial_pain,congestion"
anxiety,Mental health condition with physical symptoms,1,"headache,chest_pain,sweating,dizziness,nausea"
depression,Mental health condition affecting mood,2,"fatigue,loss_of_appetite,weight_loss,sleep_problems,confusion"
